Participant.Public.ID,Congruency,mean_reaction_time_stroop,difference_reaction_time
crar9,incongruent,1006.5983333388964,NA
crar9,congruent,854.644444430316,-151.95388890858044
exdq7,incongruent,805.9262294847457,NA
exdq7,congruent,727.261111109345,-78.66511837540065
ezje7,incongruent,666.8032786924331,NA
ezje7,congruent,658.829629641992,-7.973649050441054
finc3,incongruent,1493.378333333383,NA
finc3,congruent,1151.861111111111,-341.5172222222718
fqrf6,incongruent,1145.4166666666667,NA
fqrf6,congruent,928.0769230769231,-217.33974358974365
gxac7,incongruent,961.5406779660765,NA
gxac7,congruent,877.3999999997517,-84.1406779663248
hcqa8,incongruent,949.9566666642825,NA
hcqa8,congruent,830.961111134953,-118.99555552932952
jpxp4,incongruent,1007.0333333333333,NA
jpxp4,congruent,1038.648148148148,31.614814814814736
ksjo8,incongruent,1110.154237282478,NA
ksjo8,congruent,878.7074073994602,-231.44682988301793
ltsl3,incongruent,897.1896551806351,NA
ltsl3,congruent,1073.6473684436396,176.4577132630045
qdvg4,incongruent,837.8622950960378,NA
qdvg4,congruent,660.0537036701485,-177.8085914258893
qgsl9,incongruent,814.0360655667351,NA
qgsl9,congruent,675.0018518456707,-139.03421372106448
rqed8,incongruent,946.108196718771,NA
rqed8,congruent,934.957692305629,-11.150504413141903
rvax5,incongruent,668.2393442587775,NA
rvax5,congruent,530.6777777782193,-137.5615664805582
uyxx3,incongruent,750.6819672154598,NA
uyxx3,congruent,656.7481481366688,-93.93381907879109
wbij5,incongruent,2544.8444444443685,NA
wbij5,congruent,5330.089361702132,2785.2449172577635
wjob1,incongruent,608.3557376705232,NA
wjob1,congruent,581.5703704003935,-26.78536727012977
xqls8,incongruent,756.2770491887311,NA
xqls8,congruent,694.9092592597008,-61.36778992903032
ztwr3,incongruent,844.5557377049317,NA
ztwr3,congruent,682.2629629629535,-162.2927747419783
zuwa4,incongruent,793.2147541085228,NA
zuwa4,congruent,647.762962963846,-145.4517911446768
